Category: All categories

Week,starbucks: (United States),Dunkin Donuts: (United States)
2020-03-29,45,12
2020-04-05,43,13
2020-04-12,49,14
2020-04-19,47,14
2020-04-26,52,14
2020-05-03,59,17
2020-05-10,62,16
2020-05-17,68,15
2020-05-24,71,16
2020-05-31,62,17
2020-06-07,74,18
2020-06-14,65,18
2020-06-21,65,18
2020-06-28,61,18
2020-07-05,59,18
2020-07-12,58,16
2020-07-19,60,17
2020-07-26,59,17
2020-08-02,58,19
2020-08-09,57,17
2020-08-16,61,18
2020-08-23,64,17
2020-08-30,61,20
2020-09-06,61,21
2020-09-13,56,18
2020-09-20,57,17
2020-09-27,60,20
2020-10-04,59,17
2020-10-11,58,19
2020-10-18,59,18
2020-10-25,58,19
2020-11-01,68,14
2020-11-08,73,17
2020-11-15,65,17
2020-11-22,81,22
2020-11-29,69,16
2020-12-06,70,18
2020-12-13,68,18
2020-12-20,100,26
2020-12-27,78,18
2021-01-03,66,14
2021-01-10,60,15
2021-01-17,60,15
2021-01-24,57,15
2021-01-31,55,16
2021-02-07,53,17
2021-02-14,57,16
2021-02-21,58,16
2021-02-28,65,16
2021-03-07,62,15
2021-03-14,63,15
2021-03-21,68,17
